11.8	32
12.2	44
12.4	30
12.5	33
12.6	39
12.7	34
12.8	2
12.8	27
12.9	41
13.1	11
13.1	24
13.2	3
13.2	8
13.3	4
13.3	16
13.4	7
13.7	19
13.7	25
13.8	17
13.8	45
14	14
14.4	36
15.2	21
20.1	1
22.2	13
22.6	46
23.7	35
23.8	30
24.1	49
24.5	31
24.6	40
24.8	12
25.1	7
25.1	37
25.5	25
25.7	4
25.9	22
26.1	21
26.2	9
26.3	42
26.3	47
26.4	19
26.8	27
26.9	32
27.1	41
27.2	16
27.5	11
28.1	39
28.2	5
28.5	14
28.9	24
30.7	43
30.8	29
32.7	45
35.2	17
36.4	33
37.4	36
37.8	48
38	44
38.1	15
42.3	25
43.3	37
44.1	46
44.3	1
44.3	21
44.6	19
45.5	23
45.7	6
45.7	30
46.2	28
46.2	41
46.5	20
46.5	32
46.6	11
47.5	40
47.8	49
47.9	13
48	34
48.3	16
50	8
50.2	7
50.5	43
51.4	26
51.6	5
51.7	22
52	24
52.1	45
52.6	36
52.8	4
53.5	42
53.6	31
54	17
54.2	12
55.3	14
57	29
57.4	9
59.6	27
59.8	21
64.1	41
64.2	46
64.9	1
64.9	37
65	25
65.9	19
65.9	30
66	35
66	47
66.3	44
66.4	0
67.2	39
67.8	48
68.2	24
68.5	36
68.7	16
69.8	49
71.9	2
72.2	43
74.4	11
74.6	17
74.7	7
74.7	18
74.7	21
74.8	5
74.9	38
75.3	40
75.3	41
77	33
77.1	14
77.4	10
77.7	34
78.5	45
78.8	32
80.5	22
81.8	20
82.1	9
83.4	16
84.1	24
84.2	46
84.5	13
84.7	4
84.8	30
85.4	12
85.5	25
85.7	19
86.9	1
88.2	29
88.8	41
89	47
89.1	36
89.7	17
90	23
90.4	31
90.5	40
90.8	44
91.2	21
91.4	43
92	49
92.3	15
93	27
96.1	45
96.2	8
97.8	6
98.3	14
99.2	16
99.2	22
99.4	11
99.4	46
99.8	30
100.1	37
100.5	25
101	42
101.2	48
102.2	24
103.2	19
103.8	7
103.9	36
104.2	39
106	41
106.4	5
106.8	47
107.8	4
108.1	21
108.4	12
109	26
